track_name,artist_name,album_name,release_date,popularity,track_id,region,features,languages
Indecent Proposition,Adrian Roman,Indecent Proposition EP,2024-08-30,22,0Bs5McFxQvk69OANWp80iS,UK,[],English
Illusion,Dua Lipa,Illusion,2024-04-11,42,59xD5osEFsaNt5PXfIKUnX,UK,[],English
Alibi,Ella Henderson,Alibi (feat. Rudimental),2024-01-12,72,5Jpz4nv8nA6FIYO5gEyQa2,UK,['Rudimental'],English
Yo Gaba,Ben Bacardi,Yo Gaba,2024-08-10,22,7h202ewosZbcw244vcDwGR,UK,['Pelle'],English
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,92,0WbMK4wrZ1wFSty9F7FCgu,UK,[],English
Whatever She Wants,Bryson Tiller,Whatever She Wants,2024-02-12,43,4VfWJbVBErPQrB6ia3FGRA,UK,[],English
Overload,TATE SEDAR,Overload,2024-10-31,26,2sQbUjCGDqTcFgzE45O3Uz,UK,[],English
Unwritten,Natasha Bedingfield,Unwritten,2004-08-30,84,3U5JVgI2x4rDyHGObzJfNf,UK,[],English
Birds In The Sky,NewEra,Birds In The Sky,2023-12-08,61,50SxWFCvmZCYcpKWPZECES,UK,[],English
Stinkbug,Space Memory Effect,Stinkbug (Towards the Dark),2024-11-15,29,4iE9kOV7YjxXRiEJMzPyQ3,UK,[],English
Like That,Future,WE DON'T TRUST YOU,2024-03-20,50,5M2KX4eOJLWlPdjV1UPwzS,UK,"['Metro Boomin', 'Kendrick Lamar']",English
Hell N Back,Bakar,Hell N Back (feat. Summer Walker),2023-09-21,69,0ZDwhNFZnPx9EIPCcwGUHC,UK,['Summer Walker'],English
You Break Me,Shoshana Ami,Baby,2024-10-04,23,1NRHBv1EZYKPCHiEs6FYmt,UK,[],English
I Don't Wanna Wait,David Guetta,I Don't Wanna Wait,2024-04-05,84,331l3xABO0HMr1Kkyh2LZq,UK,['OneRepublic'],English
Back On 74,Jungle,Volcano,2023-08-11,78,19kHhX6f6EfLU7rcO3RqjO,UK,[],English
Sober,ET Boys,Sober,2021-06-25,34,6yXxGLfqdrFNj4S1ylpWcQ,UK,[],English
Saturn,SZA,Saturn,2024-02-22,82,1bjeWoagtHmUKputLVyDxQ,UK,[],English
Slow It Down,Benson Boone,Slow It Down,2024-03-21,71,6WO7IDGLakjO38lsvI2gHB,UK,[],English
if you're up for it,Indira Ellis,if you're up for it,2024-11-01,26,4n3TQgEpW1ROgyzVxzMZC8,UK,[],English
Forget About Us,Perrie,Forget About Us,2024-04-12,28,3wmnP7CY38ajyGfZUZ6vce,UK,[],English
